date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:26	232914/232914	---M--	200	added ('OK')	text/css	etag:%226796aee0-38dd2%22	https://cartao-aprovado.site/npm/bootstrap%405.3.0/dist/css/bootstrap.min.css	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://cartao-aprovado.site/quiz.html)
15:39:26	6964/6964	---M--	200	added ('OK')	text/html	etag:%226796b5ac-1b34%22	https://cartao-aprovado.site/termos/index.htm	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/termos/index.html	(from https://cartao-aprovado.site/quiz.html)
15:39:27	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/remixicon@2.5.0/fonts/remixicon.css)
15:39:27	80421/80421	---M--	200	added ('OK')	application/javascript	etag:%226796aee2-13a25%22	https://cartao-aprovado.site/npm/bootstrap%405.3.0/dist/js/bootstrap.bundle.min.js	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min.js	(from https://cartao-aprovado.site/quiz.html)
15:39:30	232914/232914	---M--	200	added ('OK')	text/css	etag:%226796aee0-38dd2%22	https://cartao-aprovado.site/npm/bootstrap%405.3.0/dist/css/bootstrap.min-1.css	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/npm/bootstrap@5.3.0/dist/css/bootstrap.min-1.css	(from https://cartao-aprovado.site/termos/index.htm)
15:39:31	8891/8891	---M--	200	added ('OK')	text/html	etag:%226796f426-22bb%22	https://cartao-aprovado.site/personal/index.php.html	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/personal/index.php.html	(from https://cartao-aprovado.site/termos/index.htm)
15:39:31	80421/80421	---M--	200	added ('OK')	application/javascript	etag:%226796aee2-13a25%22	https://cartao-aprovado.site/npm/bootstrap%405.3.0/dist/js/bootstrap.bundle.min-1.js	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min-1.js	(from https://cartao-aprovado.site/termos/index.htm)
15:39:32	232914/232914	---M--	200	added ('OK')	text/css	etag:%226796aee0-38dd2%22	https://cartao-aprovado.site/npm/bootstrap%405.3.0/dist/css/bootstrap.min-2.css	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/npm/bootstrap@5.3.0/dist/css/bootstrap.min-2.css	(from https://cartao-aprovado.site/personal/index.php.html)
15:39:32	6850/6850	---M--	200	added ('OK')	text/html	etag:%226796b50a-1ac2%22	https://cartao-aprovado.site/card/index.php.html	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/card/index.php.html	(from https://cartao-aprovado.site/personal/index.php.html)
15:39:32	80421/80421	---M--	200	added ('OK')	application/javascript	etag:%226796aee2-13a25%22	https://cartao-aprovado.site/npm/bootstrap%405.3.0/dist/js/bootstrap.bundle.min-2.js	C:/Users/mathe/Downloads/Site%20httrack/shopee/cartao-aprovado.site/npm/bootstrap@5.3.0/dist/js/bootstrap.bundle.min-2.js	(from https://cartao-aprovado.site/personal/index.php.html)
